name,ttm,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002
TotalRevenue,"891,511,000","217,906,000","234,168,000","224,820,000","214,617,000","200,904,000","349,100,000","328,201,000","309,109,000","287,295,000","339,203,000","324,867,000","324,305,000","315,259,000","330,230,000","303,983,000","306,327,000","289,207,000","318,731,000","280,726,000","274,777,000","260,995,000","295,859,000","258,902,000","261,921,000","245,424,000","280,794,000","284,054,000","295,882,000","269,536,000","311,653,000","282,574,000","276,816,000","257,393,000","255,745,000","224,314,000","222,447,000","204,786,000","228,961,000","201,520,000","212,426,000","196,635,000","211,993,000","199,364,000","194,959,000","176,332,000","186,869,000","186,641,000","180,676,000","172,613,000","172,736,000","186,480,000","169,269,000","175,148,000","190,698,000","157,867,000","166,025,000","154,954,000","78,238,000","74,709,000","72,039,000","69,030,000","63,989,000","60,167,000","56,638,000","52,425,000","49,012,000","46,892,000","44,415,000","42,317,000","40,671,000","38,470,000","36,317,000"
	OperatingRevenue,"891,511,000","217,906,000","234,168,000","224,820,000","214,617,000","200,904,000","349,100,000","328,201,000","309,109,000","287,295,000","339,203,000","324,867,000","324,305,000","315,259,000","330,230,000","303,983,000","306,327,000","289,207,000","318,731,000","280,726,000","274,777,000","260,995,000","295,859,000","258,902,000","261,921,000","245,424,000","280,794,000","284,054,000","295,882,000","269,536,000","311,653,000","282,574,000","276,816,000","257,393,000","255,745,000","224,314,000","222,447,000","204,786,000","228,961,000","201,520,000","212,426,000","196,635,000","211,993,000","199,364,000","194,959,000","176,332,000","186,869,000","186,641,000","180,676,000","172,613,000","172,736,000","186,480,000","169,269,000","175,148,000","190,698,000","157,867,000","166,025,000","154,954,000","78,238,000","74,709,000","72,039,000","69,030,000","63,989,000","60,167,000","56,638,000","52,425,000","49,012,000","46,892,000","44,415,000","42,317,000","40,671,000","38,470,000","36,317,000"
CostOfRevenue,"302,967,000","76,735,000","81,581,000","72,084,000","72,567,000","72,340,000","111,966,000","103,203,000","98,099,000","102,326,000","119,865,000","113,272,000","116,441,000","114,188,000","110,575,000","111,239,000","113,307,000","114,092,000","113,905,000","111,405,000","110,674,000","110,803,000","116,268,000","103,206,000","102,461,000","100,694,000","101,678,000","105,517,000","119,249,000","103,173,000","108,667,000","101,103,000","102,555,000","102,823,000","88,348,000","72,157,000","72,607,000","73,308,000","72,414,000","65,282,000","75,980,000","68,328,000","73,764,000","70,139,000","69,109,000","55,349,000","61,250,000","58,941,000","60,346,000","57,807,000","60,289,000","63,510,000","59,067,000","57,069,000","67,138,000","61,782,000","66,142,000","63,188,000","34,360,000","33,231,000","32,269,000","30,676,000","29,235,000","27,106,000","25,757,000","24,064,000","22,560,000","21,766,000","20,912,000","22,716,000","18,956,000","18,582,000","17,799,000"
GrossProfit,"588,544,000","141,171,000","152,587,000","152,736,000","142,050,000","128,564,000","237,134,000","224,998,000","211,010,000","184,969,000","219,338,000","211,595,000","207,864,000","201,071,000","219,655,000","192,744,000","193,020,000","175,115,000","204,826,000","169,321,000","164,103,000","150,192,000","179,591,000","155,696,000","159,460,000","144,730,000","179,116,000","178,537,000","176,633,000","166,363,000","202,986,000","181,471,000","174,261,000","154,570,000","167,397,000","152,157,000","149,840,000","131,478,000","156,547,000","136,238,000","136,446,000","128,307,000","138,229,000","129,225,000","125,850,000","120,983,000","125,619,000","127,700,000","120,330,000","114,806,000","112,447,000","122,970,000","110,202,000","118,079,000","123,560,000","96,085,000","99,883,000","91,766,000","43,878,000","41,478,000","39,770,000","38,354,000","34,754,000","33,061,000","30,881,000","28,361,000","26,452,000","25,126,000","23,503,000","19,601,000","21,715,000","19,888,000","18,518,000"
OperatingExpense,"545,645,000","140,673,000","146,391,000","128,068,000","130,513,000","124,122,000","214,661,000","187,257,000","168,693,000","178,795,000","191,042,000","181,778,000","192,589,000","186,603,000","176,103,000","159,074,000","163,789,000","167,333,000","168,569,000","151,509,000","160,157,000","159,577,000","160,208,000","150,171,000","155,711,000","156,021,000","151,912,000","156,209,000","172,664,000","156,753,000","160,699,000","157,113,000","162,791,000","153,574,000","127,918,000","114,326,000","118,577,000","117,765,000","121,011,000","119,467,000","110,183,000","107,324,000","110,277,000","110,943,000","104,440,000","102,149,000","102,724,000","97,307,000","96,531,000","118,788,000","120,104,000","99,235,000","96,482,000","82,057,000","88,401,000","98,079,000","103,781,000","105,444,000","36,311,000","33,812,000","33,129,000","32,238,000","29,699,000","27,709,000","26,866,000","23,260,000","21,996,000","20,993,000","20,004,000","16,574,000","18,998,000","17,656,000","16,443,000"
	SellingGeneralAndAdministration,"392,044,000","102,882,000","108,008,000","89,778,000","91,376,000","87,646,000","143,101,000","118,084,000","105,406,000","111,651,000","124,579,000","116,306,000","126,265,000","121,721,000","114,701,000","99,902,000","104,083,000","107,497,000","112,355,000","97,304,000","103,494,000","101,807,000","106,872,000","98,899,000","101,146,000","100,035,000","98,239,000","99,870,000","114,971,000","102,850,000","104,320,000","102,738,000","107,160,000","101,048,000","86,845,000","77,472,000","81,364,000","81,704,000","85,335,000","85,626,000","73,953,000","72,723,000","74,918,000","76,536,000","72,217,000","70,235,000","73,336,000","67,868,000","69,144,000","87,017,000","91,931,000","72,398,000","70,258,000","57,226,000","64,058,000","69,977,000","73,644,000","74,468,000","26,272,000","24,190,000","23,755,000","23,366,000","21,290,000","19,820,000","18,594,000","17,006,000","16,044,000","15,301,000","14,669,000","14,175,000","13,741,000","12,612,000","12,551,000"
	ResearchAndDevelopment,"125,090,000","30,947,000","31,322,000","31,029,000","31,792,000","29,148,000","64,794,000","61,067,000","55,229,000","59,079,000","58,135,000","57,694,000","58,685,000","57,169,000","53,113,000","51,587,000","52,254,000","52,152,000","48,732,000","47,157,000","48,521,000","46,233,000","42,223,000","41,028,000","43,099,000","44,720,000","42,909,000","45,443,000","46,960,000","43,166,000","45,340,000","43,008,000","44,077,000","41,323,000","34,604,000","30,704,000","31,203,000","30,028,000","29,576,000","27,732,000","30,195,000","28,403,000","29,361,000","28,464,000","26,808,000","26,368,000","23,981,000","24,063,000","22,049,000","26,432,000","22,797,000","21,461,000","20,638,000","18,901,000","18,412,000","21,963,000","23,672,000","24,262,000","10,039,000","9,622,000","9,374,000","8,872,000","8,409,000","7,889,000","6,791,000","6,254,000","5,952,000","5,692,000","5,335,000","4,763,000","4,464,000","4,238,000","3,892,000"
	DepreciationAmortizationDepletionIncomeStatement,"28,511,000","6,844,000","7,061,000","7,261,000","7,345,000","7,328,000","6,766,000","8,106,000","8,058,000","8,065,000","8,328,000","7,778,000","7,639,000","7,713,000","8,289,000","7,585,000","7,452,000","7,684,000","7,482,000","7,048,000","8,142,000","11,537,000","11,113,000","10,244,000","11,466,000","11,266,000","10,764,000","10,896,000","10,733,000","10,737,000","11,039,000","11,367,000","11,554,000","11,203,000","6,469,000","6,150,000","6,010,000","6,033,000","6,100,000","6,109,000","6,035,000","6,198,000","5,998,000","5,943,000","5,415,000","5,546,000","5,407,000","5,376,000","5,338,000","5,339,000","5,376,000","5,376,000","5,586,000","5,930,000","5,931,000","6,139,000","6,465,000","6,714,000",,,,,,,,,,,,,,"806,000",
		DepreciationAndAmortizationInIncomeStatement,"28,511,000","6,844,000","7,061,000","7,261,000","7,345,000","7,328,000","6,766,000","8,106,000","8,058,000","8,065,000","8,328,000","7,778,000","7,639,000","7,713,000","8,289,000","7,585,000","7,452,000","7,684,000","7,482,000","7,048,000","8,142,000","11,537,000","11,113,000","10,244,000","11,466,000","11,266,000","10,764,000","10,896,000","10,733,000","10,737,000","11,039,000","11,367,000","11,554,000","11,203,000","6,469,000","6,150,000","6,010,000","6,033,000","6,100,000","6,109,000","6,035,000","6,198,000","5,998,000","5,943,000","5,415,000","5,546,000","5,407,000","5,376,000","5,338,000","5,339,000","5,376,000","5,376,000","5,586,000","5,930,000","5,931,000","6,139,000","6,465,000","6,714,000",,,,,,,,,,,,,,"806,000",
			Amortization,"28,511,000","6,844,000","7,061,000","7,261,000","7,345,000","7,328,000","6,766,000","8,106,000","8,058,000","8,065,000","8,328,000","7,778,000","7,639,000","7,713,000","8,289,000","7,585,000","7,452,000","7,684,000","7,482,000","7,048,000","8,142,000","11,537,000","11,113,000","10,244,000","11,466,000","11,266,000","10,764,000","10,896,000","10,733,000","10,737,000","11,039,000","11,367,000","11,554,000","11,203,000","6,469,000","6,150,000","6,010,000","6,033,000","6,100,000","6,109,000","6,035,000","6,198,000","5,998,000","5,943,000","5,415,000","5,546,000","5,407,000","5,376,000","5,338,000","5,339,000","5,376,000","5,376,000","5,586,000","5,930,000","5,931,000","6,139,000","6,465,000","6,714,000",,,,,,,,,,,,,,"806,000",
				AmortizationOfIntangiblesIncomeStatement,"28,511,000","6,844,000","7,061,000","7,261,000","7,345,000","7,328,000","6,766,000","8,106,000","8,058,000","8,065,000","8,328,000","7,778,000","7,639,000","7,713,000","8,289,000","7,585,000","7,452,000","7,684,000","7,482,000","7,048,000","8,142,000","11,537,000","11,113,000","10,244,000","11,466,000","11,266,000","10,764,000","10,896,000","10,733,000","10,737,000","11,039,000","11,367,000","11,554,000","11,203,000","6,469,000","6,150,000","6,010,000","6,033,000","6,100,000","6,109,000","6,035,000","6,198,000","5,998,000","5,943,000","5,415,000","5,546,000","5,407,000","5,376,000","5,338,000","5,339,000","5,376,000","5,376,000","5,586,000","5,930,000","5,931,000","6,139,000","6,465,000","6,714,000",,,,,,,,,,,,,,"806,000",
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,"1,481,000",,,,,,"793,000",,
OperatingIncome,"42,899,000","498,000","6,196,000","24,668,000","11,537,000","4,442,000","22,473,000","37,741,000","42,317,000","6,174,000","28,296,000","29,817,000","15,275,000","14,468,000","43,552,000","33,670,000","29,231,000","7,782,000","36,257,000","17,812,000","3,946,000","-9,385,000","19,383,000","5,525,000","3,749,000","-11,291,000","27,204,000","22,328,000","3,969,000","9,610,000","42,287,000","24,358,000","11,470,000","996,000","39,479,000","37,831,000","31,263,000","13,713,000","35,536,000","16,771,000","26,263,000","20,983,000","27,952,000","18,282,000","21,410,000","18,834,000","22,895,000","30,393,000","23,799,000","-3,982,000","-7,657,000","23,735,000","13,720,000","36,022,000","35,159,000","-1,994,000","-3,898,000","-13,678,000","7,567,000","7,666,000","6,641,000","6,116,000","5,055,000","5,352,000","4,015,000","5,101,000","4,456,000","4,133,000","3,499,000","3,027,000","2,717,000","2,232,000","2,075,000"
NetNonOperatingInterestIncomeExpense,"-6,398,000","-1,302,000","-1,519,000","-1,401,000","-2,176,000","-4,996,000","-8,867,000","-9,195,000","-9,424,000","-9,681,000","-9,132,000","-8,698,000","-8,420,000","-8,508,000","-8,143,000","-7,367,000","-8,788,000","-8,269,000","-8,278,000","-8,237,000","-8,309,000","-8,658,000","-8,633,000","-8,479,000","-8,411,000","-8,391,000","-8,022,000","-8,132,000","-8,098,000","-8,143,000","-8,171,000","-8,286,000","-9,133,000","-10,001,000","-7,393,000","-7,174,000","-7,217,000","-7,033,000","-7,599,000","-7,573,000","-7,743,000","-7,588,000","-7,588,000","-7,752,000","-7,711,000","-8,646,000","-8,926,000","-8,832,000","-5,819,000","-5,865,000","-6,029,000","-5,842,000","-6,271,000","-6,206,000","-7,496,000","-9,313,000","-9,165,000","-9,365,000",,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"409,000","199,000","86,000","101,000","23,000","23,000","416,000","536,000","839,000","1,017,000","1,103,000","1,404,000","1,687,000","1,426,000","1,531,000","1,319,000","1,134,000","793,000","684,000","654,000","809,000","330,000","353,000","229,000","313,000","153,000","498,000","335,000","463,000","194,000","387,000","208,000","250,000","225,000","400,000","242,000","166,000","155,000","152,000","125,000","124,000","130,000","214,000","153,000","146,000","148,000","145,000","109,000","117,000","83,000","35,000","336,000","98,000","147,000","315,000","481,000","529,000","547,000",,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"6,807,000","1,501,000","1,605,000","1,502,000","2,199,000","5,019,000","9,283,000","9,731,000","10,263,000","10,698,000","10,235,000","10,102,000","10,107,000","9,934,000","9,674,000","8,686,000","9,922,000","9,062,000","8,962,000","8,891,000","9,118,000","8,988,000","8,986,000","8,708,000","8,724,000","8,544,000","8,520,000","8,467,000","8,561,000","8,337,000","8,558,000","8,494,000","9,383,000","10,226,000","7,793,000","7,416,000","7,383,000","7,188,000","7,751,000","7,698,000","7,867,000","7,718,000","7,802,000","7,905,000","7,857,000","8,794,000","9,071,000","8,941,000","5,936,000","5,948,000","6,064,000","6,178,000","6,369,000","6,353,000","7,811,000","9,794,000","9,694,000","9,912,000",,,,,,,,,,,,,,,
OtherIncomeExpense,"2,851,000","1,674,000","1,438,000","-417,000","156,000","1,576,000","-32,312,000","-8,562,000","-12,211,000","-2,230,000","-996,000","1,082,000","909,000","-790,000","-1,712,000","-489,000","-1,241,000","-464,000","3,157,000","-565,000","3,049,000","-1,889,000","-4,266,000","-1,121,000","-5,358,000","3,819,000","-4,562,000","-4,175,000","-3,751,000","211,000","-10,837,000","167,000","-7,183,000","-4,264,000","-15,262,000","-646,000","-2,732,000","-11,514,000","-1,097,000","-340,000","-483,000","634,000","-925,000","-1,313,000","738,000","-7,124,000","-1,151,000","2,159,000","-2,448,000","-3,698,000","-6,396,000","-2,775,000","-3,117,000","-4,976,000","-37,524,000","307,000","-1,911,000","-28,000",,,,"368,000",,,"-4,635,000",,,,,"4,119,000","-793,000",,
	GainOnSaleOfSecurity,"610,000","1,713,000","47,000","-687,000","-463,000","-14,915,000","1,478,000","-3,070,000","2,569,000","-2,240,000","-1,036,000","1,263,000","953,000","-638,000","-1,396,000","-407,000","-858,000","-347,000","4,067,000","-640,000","4,112,000","-794,000","-4,239,000","-886,000","-2,307,000","4,366,000","-2,792,000","-2,208,000","-3,219,000","577,000","-10,047,000","-387,000","-1,440,000","2,458,000","-3,163,000","-19,000","-1,240,000","-1,290,000","-584,000","891,000","-440,000","695,000","-2,068,000","-1,233,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	EarningsFromEquityInterest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"682,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,"0","0","0","0","0","-2,474,000",,,,,,,,,"0","0","0",,"-216,000","0","-1,934,000",,,,,,"0","0","0","0","0","0","-5,454,000","-7,092,000","-12,874,000","0","-173,000","-9,706,000","0","0","0","0","892,000","-762,000","738,000","-7,124,000","-1,151,000","2,159,000","-2,448,000","-3,698,000","-6,396,000","-2,775,000","-3,117,000","-4,976,000","-37,524,000","307,000","-1,911,000","-28,000",,,,"368,000",,,"-4,635,000",,,,,"4,119,000","-793,000",,
		RestructuringAndMergernAcquisition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","117,000","0","11,000","13,000","3,486,000","-7,393,000","3,606,000","4,955,000",,,,,,,,,,,,,,,
		OtherSpecialCharges,,,"0",,,"2,474,000",,,,,,,,,,,,,"216,000",,"1,934,000",,,,,,,,,,"0",,"5,454,000","7,092,000","0",,"173,000","9,706,000",,,,,,,,,"1,151,000","-2,159,000","2,448,000","3,698,000","6,279,000","2,775,000","3,106,000","4,963,000","8,077,000","7,086,000","-1,695,000","-4,927,000",,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"2,241,000","-39,000","1,391,000","270,000","619,000","18,965,000","-33,790,000","-5,492,000","-14,780,000","10,000","40,000","-181,000","-44,000","-152,000","-316,000","-82,000","-383,000","-117,000","-694,000","75,000","871,000","-1,095,000","-27,000","-235,000","-3,051,000","-547,000","-1,770,000","-1,967,000","-532,000","-366,000","-790,000","554,000","-289,000","370,000","775,000","-627,000","-1,319,000","-518,000","-513,000","-1,231,000","-43,000","-61,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"39,352,000","870,000","6,115,000","22,850,000","9,517,000","1,022,000","-18,706,000","19,984,000","20,682,000","-5,737,000","18,168,000","22,201,000","7,764,000","5,170,000","33,697,000","25,814,000","19,202,000","-951,000","31,136,000","9,010,000","-1,314,000","-19,932,000","6,484,000","-4,075,000","-10,020,000","-15,863,000","14,620,000","10,021,000","-7,880,000","1,678,000","23,279,000","16,239,000","-4,846,000","-13,269,000","16,824,000","30,011,000","21,314,000","-4,834,000","26,840,000","8,858,000","18,037,000","14,029,000","19,439,000","9,217,000","14,437,000","3,064,000","12,818,000","23,720,000","15,532,000","-13,545,000","-20,082,000","15,118,000","4,332,000","24,840,000","-9,861,000","-11,000,000","-14,974,000","-23,071,000","9,549,000","9,355,000","8,331,000","7,355,000","5,987,000","6,217,000","1,443,000","5,958,000","5,334,000","4,553,000","4,014,000","3,983,000","3,354,000","2,792,000","2,188,000"
TaxProvision,"24,221,000","296,000","10,375,000","9,349,000","4,201,000","-72,000","-160,000","8,157,000","10,095,000","-1,762,000","11,500,000","9,218,000","-4,507,000","1,409,000","5,389,000","5,601,000","-3,722,000","274,000","12,850,000","5,944,000","4,452,000","-892,000","-1,975,000","3,359,000","1,058,000","330,000","-4,167,000","1,551,000","2,037,000","947,000","16,789,000","4,766,000","5,534,000","-42,088,000","-7,330,000","5,957,000","2,809,000","3,103,000","-454,000","2,243,000","4,772,000","2,399,000","1,564,000","-704,000","3,163,000","1,509,000","-604,000","5,332,000","3,141,000","2,071,000","-1,813,000","1,803,000","2,850,000","4,268,000","8,784,000","9,441,000","-260,000","1,706,000","2,241,000","2,218,000","1,798,000","648,000","807,000","546,000","-71,000","176,000","667,000","576,000","502,000","524,000","595,000","570,000","481,000"
