name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009
OperatingCashFlow,"526,691,000","971,928,000","1,067,434,000","-956,321,000","-556,350,000","1,315,692,000","885,498,000","-1,474,225,000","-530,017,000","-292,626,000","520,589,000","66,176,000","-23,842,000","-135,362,000","1,161,534,000","-843,308,000","-431,187,000","177,037,000","2,396,074,000","-1,748,536,000","-223,998,000","644,102,000","-506,546,000","944,417,000","-1,634,736,000","1,956,231,000","-1,348,857,000","-204,670,000","434,548,000","-220,659,000","-257,592,000","-116,920,000","-280,066,000","-74,918,000","85,857,000","106,880,000","32,200,000","611,971,000","63,093,000","-762,098,000","-118,801,000","-21,377,000","-155,526,000","371,647,000","-340,454,000","182,394,000","-169,523,000","-17,970,000","-36,211,000","52,413,000","-29,615,000","1,074,000"
	CashFlowFromContinuingOperatingActivities,"526,691,000","971,928,000","1,067,434,000","-956,321,000","-556,350,000","1,315,692,000","885,498,000","-1,474,225,000","-530,017,000","-292,626,000","520,589,000","66,176,000","-23,842,000","-135,362,000","1,161,534,000","-843,308,000","-431,187,000","177,037,000","2,396,074,000","-1,748,536,000","-223,998,000","644,102,000","-506,546,000","944,417,000","-1,634,736,000","1,956,231,000","-1,348,857,000","-204,670,000","434,548,000","-220,659,000","-257,592,000","-116,920,000","-280,066,000","-74,918,000","85,857,000","106,880,000","32,200,000","611,971,000","63,093,000","-762,098,000","-118,801,000","-21,377,000","-155,526,000","371,647,000","-340,454,000","182,394,000","-169,523,000","-17,970,000","-36,211,000","52,413,000","-29,615,000","1,074,000"
		NetIncomeFromContinuingOperations,"278,108,000","70,530,000","79,730,000","71,790,000","56,058,000","58,052,000","83,099,000","53,190,000","62,059,000","47,605,000","42,955,000","44,069,000","42,146,000","44,060,000","45,445,000","37,757,000","41,033,000","36,707,000","99,554,000","34,708,000","34,512,000","43,060,000","37,006,000","29,861,000","32,111,000","15,333,000","20,280,000","20,711,000","20,291,000","21,313,000","16,251,000","15,113,000","12,914,000","7,144,000","11,206,000","8,055,000","14,543,000","7,726,000",,,,,,,,"6,639,000",,"7,057,000","11,728,000","10,741,000",,"3,068,000"
		OperatingGainsLosses,"-281,940,000","-52,730,000","-77,879,000","-89,482,000","-61,849,000","-57,935,000","-121,566,000","-78,065,000","-90,369,000","-68,000,000","-47,771,000","-50,786,000","-41,271,000","-40,938,000","-53,088,000","-39,576,000","-47,044,000","-32,693,000","-52,901,000","-50,781,000","-44,669,000","-45,535,000","-65,101,000","-48,228,000","-55,579,000","-23,917,000","-36,140,000","-33,816,000","-32,358,000","-31,317,000","-32,047,000","-27,834,000","-23,531,000","-13,103,000","-23,434,000","-17,546,000","-34,203,000","-7,332,000","-1,743,752,000","276,118,000","730,724,000","630,254,000","1,081,199,000","1,036,749,000","516,717,000","621,799,000","567,465,000","651,166,000","780,376,000","293,489,000","360,336,000","411,569,000"
			GainLossOnSaleOfPPE,"-281,940,000","-52,730,000","-77,879,000","-89,482,000","-61,849,000","-57,935,000","-121,566,000","-78,065,000","-90,369,000","-68,000,000","-47,771,000","-50,786,000","-41,271,000","-40,938,000","-53,088,000","-39,576,000","-47,044,000","-32,693,000","-52,901,000","-50,781,000","-44,669,000","-45,535,000","-65,101,000","-48,228,000","-55,579,000","-23,917,000","-36,140,000","-33,816,000","-32,358,000","-31,317,000","-32,047,000","-27,834,000","-22,746,000","-13,888,000","-21,356,000","-21,462,000","-28,483,000","-20,671,000",,,,,,,,"0",,,,"0",,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"785,000","-2,078,000","3,916,000","-5,720,000","13,339,000",,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"219,565,000","56,152,000","61,405,000","53,498,000","48,510,000","46,871,000","45,013,000","41,919,000","42,317,000","39,762,000","39,552,000","37,636,000","37,381,000","37,903,000","36,271,000","36,739,000","35,489,000","33,635,000","33,705,000","32,343,000","32,860,000","32,338,000","30,603,000","29,244,000","26,425,000","25,155,000","24,385,000","25,644,000","23,470,000","24,674,000","22,764,000","19,818,000","19,097,000","18,459,000","18,714,000","20,513,000","18,176,000","18,552,000","22,923,000","17,000,000","6,743,000","7,259,000","6,256,000","6,267,000","5,084,000","4,907,000","5,298,000","3,498,000","4,719,000","3,444,000","3,956,000","3,605,000"
			DepreciationAndAmortization,"219,565,000","56,152,000","61,405,000","53,498,000","48,510,000","46,871,000","45,013,000","41,919,000","42,317,000","39,762,000","39,552,000","37,636,000","37,381,000","37,903,000","36,271,000","36,739,000","35,489,000","33,635,000","33,705,000","32,343,000","32,860,000","32,338,000","30,603,000","29,244,000","26,425,000","25,155,000","24,385,000","25,644,000","23,470,000","24,674,000","22,764,000","19,818,000","19,097,000","18,459,000","18,714,000","20,513,000","18,176,000","18,552,000","22,923,000","17,000,000","6,743,000","7,259,000","6,256,000","6,267,000","5,084,000","4,907,000","5,298,000","3,498,000","4,719,000","3,444,000","3,956,000","3,605,000"
		DeferredTax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18,207,000","-364,000","-728,000","-161,000",,,,,,,,,,,,,,
			DeferredIncomeTax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18,207,000","-364,000","-728,000","-161,000",,,,,,,,,,,,,,
		AmortizationOfSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-33,000","-60,000","35,000",,,,,,,,,,
		ProvisionandWriteOffofAssets,"-11,465,000","-9,498,000","1,093,000","1,266,000","-4,326,000","-11,320,000","5,450,000","3,483,000","4,903,000","23,643,000","4,409,000","-772,000","961,000","2,675,000","-34,000","519,000","800,000","-477,000","-27,000","9,000","-93,000","-132,000","-778,000","283,000","292,000","-409,000","1,068,000","94,000","398,000","84,000","611,000","1,487,000","279,000","-171,000","325,000","-155,000","751,000","401,000",,,,,,,,,,,,,,
		UnrealizedGainLossOnInvestmentSecurities,,"-39,641,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		StockBasedCompensation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,348,000","2,142,000","2,544,000","2,160,000","1,792,000","1,675,000","1,028,000","681,000","698,000","681,000","620,000","423,000",,,,"0",,
		ExcessTaxBenefitFromStockBasedCompensation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,000",,,,,,,,,,,,
